"","x"
"1","도전하고 경험하자저의 신념은 도전하고 경험하자입니다. 남들이 수능 공부에 목맬 고등학교 1학년 시절, 저는 새로운 경험을 위해 혼자 중국으로 출국하였습니다. 처음 중국에 도착해 천진 공항 밖으로 나왔을 때, 이해할 수 없는 중국어로만 가득해 겁이 났던 기억은 아직도 잊혀지지 않습니다. 하지만 어느 정도 적응 후에는 혼자 택시를 타고 돌아다니며 새로운 사람, 문화를 접할 수 있었습니다. 이 새로운 환경으로의 도전은 삶을 환기 시켰습니다. 이후 새로운 환경에 도전하여 경험하고 배우는 것을 주도적으로 즐길 수 있게 되었습니다. 뷔페나 택배 아르바이트부터 생선 손질도 해봤고 과일 판매도 해봤습니다. 이번에는 LG하우시스의 일원이 되기 위해 도전하겠습니다. 또한 입사 후에도 언제나 더 높은 목표의 공정개선 프로젝트에 도전하고 많은 것을 경험하겠습니다. 이런 도전과 경험을 바탕으로 넓은 시야를 통해 폭넓게 아는 파이형 인재가 되어 LG하우시스의 핵심 엔지니어가 되겠습니다.                         504자859                    "
"2","저는 영업 직무를 수행하고 싶습니다. 영업직에 필요한 역량은 절대로 포기하지 않는 ""끈기""와, 다양한 관계 속에서 ""설득""하고 관계를 ""유지""해 나가는 능력이라고 생각합니다.“비즈니스 커뮤니케이션과 퍼스널 브랜드” 수업에서의 조별 과제 중 있었던 일입니다. 이 강의의 과제는 한 학기 동안 조별 과제를 매주 성취해나가는 것이었습니다. 그러나 문제는 여섯 명 모두 자신들의 의견과 주장이 뚜렷한 사람들이었습니다. 매주논쟁으로 얼굴 붉히기 일쑤였습니다. 주제를 정하는 것부터, 역할을 분담하는 것까지 시간이 오래 걸렸고 일의 능률도 오르지 않았습니다. 급기야 중간 평가 때는 8조 중에 7등을 하였고, 그 이후로 조장은 수업을 포기하였습니다. 그러나 저는 이 수업을 절대로 포기하고 싶지가 않았습니다. 중간 평가는 중간 평가 일 뿐, 마지막에는 꼭 반전의 결과를 만들어 내고 싶었기 때문입니다.저는 조별 모임 내 문제를 해결하기 위하여, 한 사람 한 사람 약속을 잡고 밥을 먹으며, 커피를 마시며 사람들의 개인적인 불만과 의견을 들어주었습니다. 이 수업을 통해서 얻을 수 있는 것들도 강조하였습니다. 포기한 조장은 설득했습니다. 이후 조원들의 갈등이 줄어들었고, 조별 모임의 분위기가 바뀌었습니다. 분위기가 좋아지니 능률도 올라, 기말 평가에서는 8조 중에 2등을 하였고 성적은 A+를 받았습니다.저는 이 사건을 통해서 포기 하지 않는 ""끈기""와, 개개인을 이해하는 ""공감""의 힘을 보았습니다. 그리고 조장이 아닌 사람도, 개개인의 마음을 이해하려고 노력한다면 언제나 ""조용한 리더""가 될 수 있다는 것을 깨달았습니다. 이러한 공감의 힘과 한 사람 한 사람을 이해하려는 마음은 다양한 사람을 설득하는 데 꼭 필요하며, 특히 관계를 유지하는데 꼭 필요합니다. 따라서 영업직군에서 꼭 필요한 덕목이라고 생각합니다. 이렇듯 조용하게 상대를 움직일 수 있는 힘으로, LG전자에서 영업 직무를 성공적으로 수행하고 싶습니다.                         997자1,680                    "
"3","제가 연구한 분야는 지능형차량입니다. 연구실에 들어오자마자 연구실에서 진행하고 있던 자율주행경진대회를 준비하였습니다. 대회 시작까지 10개월이라는 길지 않은 기간으로 인하여 마지막 3달 동안은 팀원들과 합숙을 하며 연구를 하였습니다. 합숙하며 실제 차량을 움직이는 것은 이론과는 많이 다르다는 것을 느꼈습니다. 예상치도 못했던 하드웨어 성능부족이나 갑작스러운 고장 등은 정해놓았던 계획을 지키기 힘들게 하였고, 센서노이즈와 하드웨어 지연은 기본적인 차량동역학뿐만 아니라 통신과 액추에이터 특성 등을 고려하지 않으면 제대로 된 제어를 하기 힘들다는 것을 알게 해주었습니다.또한, 이러한 큰 프로젝트를 진행하면서 팀원들과의 원활한 소통의 중요성을 느꼈습니다. 넘겨주는 데이터의 단위나 부호가 맞지 않거나 각자 만든 알고리즘을 통합할 때 이로 인한 문제점을 찾기 힘든 것을 겪으며 확실한 의사소통을 하였고 이후 이런 문제들이 발생하지 않았습니다.이러한 과정을 거치면서 자율주행경진대회를 진행하면서 데이터를 받아서 최종 제어까지 진행하는 데 필요한 알고리즘들을 공부해보고 싶다는 생각을 하였습니다. 먼저 센서를 통해 받은 데이터의 노이즈를 제거하기 위해 파티클필터를 공부하였습니다. 그리고 필터링 된 데이터를 사용하여 제어하기 위해 LQR을 공부하였습니다. 또한, 제어에 필요한 파라미터를 찾거나 비선형성이 강한 시스템을 제어하기 위하여 유전 알고리즘과 인공신경망 알고리즘을 공부하였습니다.파티클필터는 연구실에서 공부해 본 사람이 없어 모르는 것이 있을 때 그것을 해결하는 것이 어려웠지만 그렇기에 더욱 열심히 찾아보고 알 수 있도록 노력하였습니다. 또한, 생소한 분야였던 유전 알고리즘을 공부하기 위해 타과수업을 청강하여 공부하였고 졸업논문에 졸음판단이 필요하여 인공신경망 알고리즘을 공부하여 알고리즘을 만들어보기도 하였습니다.많은 방법을 사용할 수 있는 것은 많은 해결방법을 가진 것으로 생각합니다. 입사 후에도 더 깊게 공부하여 성장하는 LG전자에 도움이 되도록 노력하겠습니다.                         1,018자1,773                    "
"4","저는 어렸을 때 조용한 성격이었습니다. 책 읽는 것을 좋아하고 체육 시간에는 친구들과 어울려 농구도 하며 평범하게 학교에 다니는 학생이었습니다. 그러다가 초등학교 4학년 때 저를 싫어하는 친구를 만나게 되었습니다. 이유는 왜인지는 모르겠지만, 저를 좋아하지 않았고 형이 같은 학교의 6학년이어서 아이들을 괴롭히며 다니던 친구였습니다. 조용한 성격이었던 저는 그냥 잘 지내다 보면 괜찮아질 것으로 생각했습니다. 그러다가 결국 그 친구에게 심하게 맞게 되었습니다. 큰 충격을 받고 그 이후 저는 가만히 있으면 안 되겠다고 생각하였고 그 친구가 괴롭힐 때 반항을 하였습니다. 반항하면서 저를 괴롭히는 친구는 줄어들었지만 언제나 나쁜 친구들은 있었고 그러다 보니 자주 싸우고 성격이 나빠지게 되었습니다. 5학년이 되어서는 저를 괴롭히는 친구는 없었지만 4학년 때 그 친구와 같이 저를 괴롭혔던 다른 한 친구는 계속해서 저와 마찰이 있었고 제 인생에서 가장 많이 싸운 1년을 보냈습니다. 그렇게 힘든 2년을 보내고 나니 성격이 거칠어졌었고 신경질적인 사람이 되었습니다. 그러다가 6학년이 되면서 담임 선생님을 만나게 되었습니다. 그 선생님은 제가 어디가 그렇게 좋으신지 책을 읽을 때나 발표를 할 때 제 번호를 부르기 위해 날짜를 더하고 빼며 어떻게든 제가 발표하게 하였고 언제나 관심을 가지고 저를 대해주셨고 일기를 써서 제출하면 그 날 있었던 일에 대해 코멘트를 달아주시고 제가 더 좋은 방향으로 갈 수 있게 지도해주셨습니다. 그러다 보니 점점 선생님과 아이들에게 좋은 모습을 보여주고 싶었고 저의 거칠었던 성격은 점점 순해지고 다른 아이들과 마찰이 없는 학생이 되었습니다. 중학교를 먼 곳으로 가게 되면서 선생님을 다시 뵙진 못했습니다. 한번의 아픔이 있었지만 이는 다른 사람의 아픔을 이해하는 계기가 되었고 그 이후 더 많은 친구들과 잘 지낼 수 있었습니다. 이러한 저의 장점은 LG화학에서 팀워크를 끌어올리는 데 도움이 될 것입니다. 이러한 팀워크로 LG화학의 발전에 앞장서겠습니다.                         1,022자1,747                    "
"5","[끊임없는 투자로 발전하는 LG생명과학에서 고객의 기억에 남는 영업 사원이 되겠습니다]LG 생명과학은 지속적이며 과감한 R&D 투자를 통해 신약을 개발하며 회사의 가치를 높여왔습니다. 이를 통해 생산한 ‘제미글로’는 현재 가파른 매출 상승을 이어가고 있으며 글로벌 대형 신약의 자리까지 오를 것이라는 예측을 받고 있는 LG생명과학의 자랑스러운 제품입니다. 이러한 성공 사례는 R&D 투자와 더불어 취약했던 영업력의 상승이 한 몫 했다고 생각합니다. 꾸준한 투자를 통한 국내외 시장공략으로 현재 업계 TOP 자리를 노리는 LG생명과학에서 영업 활동을 하며 꾸준히 개발되는 신약을 국민들이 처방받아 건강과 삶의 질 향상에 도움이 되도록 만들고자 이렇게 MR에 지원하게 되었습니다.제가 지원하는 직무 MR은 다른 말로 영업 사원입니다. 저는 영업이 두렵기 보단 1 제가 즐겁게 일 할 수 있는 분야라 생각합니다. 대학교 1학년 때부터 지금까지 많은 유통업계 아르바이트를 경험하면서 배운 것은 고객의 마음을 사로잡아 영업을 하는 법이였습니다. 처음 했던 편의점에서는 하나의 매장을 관리한다는 책임감 아래 고객들이 주로 구매하는 인기 상품은 무엇인지, 인기 없는 상품은 어떤 점이 부족한지, 상품의 진열이 어떻게 소비자의 구매로 연결되는지 등 다양한 관점에서 바라보며 일했습니다. 이후 대형마트에서 완구 판매 아르바이트를 하면서 고객은 제가 제품에 대해 철저한 지식으로 무장되어있고 이를 알기 쉽게 설명 해줄 때 저의 정보를 신뢰하고 구매한다는 것을 깨달았습니다.  영업은 단순히 제품을 파는 일이 아닌 내가 고객이라면 어떤 상품을 고를까라는 생각과 ‘나’ 자신을 파는 것처럼 고객에게 진심으로 다가가서 소통해야 한다는 것을 배웠습니다. 이런 경험을 통해 고객이 저를 오래 기억하고 필요할 때 찾는 멋진 영업 사원이 되겠다는 생각을 갖게 되었습니다. 저를 파는 것처럼, 저에 대한 호감을 먼저 사서 단기적인 거래가 아닌 꾸준한 거래가 이루어지도록 노력하는 사원이 되겠습니다.                         1,029자1,742                    "
"6","[세상과의 통로를 만드는 사람]어린 시절 기억 중 TV 속으로 들어가고 싶다는 생각에 끌어당기다가 TV를 안고 넘어진 기억이 있습니다. 어릴 적 TV 속으로 들어가고 싶다는 생각이 디스플레이에 대한 호기심을 불러일으켰습니다. 디스플레이에 대한 호기심은 공상영화를 보며 더욱 발전했습니다. 특히 투명 디스플레이, 플랙시블 디스플레이를 보며 디스플레이의 관심은 더욱 커져만 갔습니다. 계속된 관심은 ‘디스플레이 제조의 일인자가 되겠다.’라는 목표로 발전하였습니다. 목표를 위한 조사를 계속하면서 차세대 디스플레이에서는 OLED가 핵심이 될 것 이라고 판단했습니다. 자연스럽게 OLED 업계 1위인 LG디스플레이에 대해 조사해보게 되었습니다. 이러한 조사 끝에 LG디스플레이의 ‘1등 정신’에 매료되었고 LG와 함께 세계 최고에 도전하겠다는 다짐을 하였습니다.LG디스플레이와 함께 차세대 디스플레이의 최고가 되고자 지원하게 되었습니다.[디스플레이 공정에 맞는 옷 입기]디스플레이 전문가가 되고자 하는 목표를 이루기 위해 많은 노력을 하였습니다. 첫째, 물리 전자, 전자소자, 집적 공정 회로 등 반도체 공정과 관련된 수업을 들으며 기본 개념을 습득했습니다. 둘째, IMID 디스플레이 전시회에 참가하여 자동차 디스플레이, POLED 등 다양한 디스플레이들을 경험해보았습니다. 셋째, 공정에 대한 경험을 위해 생산 공장에서 3개월 정도 근무를 하였습니다. 어느 날 불량품이 발생한 적이 있었는데 알고 보니 볼트에 낀 조그마한 이물질에 의한 볼팅 불량이었습니다. 이러한 경험을 통해 제조공정에서 청결함이 얼마나 중요한지에 대해 생각해보는 기회가 되었습니다.[패기와 전문성을 가진 LG인]디스플레이는 곧 세상의 통로라고 생각했고 그러한 눈을 만드는 사람이 되고 싶습니다. 특히나 지원한 분야인 공정에서 새로운 공정을 빠르게 안정화 시키고 또한 과거 공장에서의 경험을 바탕으로 현재 LG디스플레이의 목표인 UHD OLED 수율 85% 도달에 일조하는 LG인이 되겠습니다.                         1,041자1,733                    "
"7","""책임감""초등학교 때 1년간 필리핀으로 어학연수를 갔습니다. 가족과 떨어져서 혼자 필리핀에서 살게 되면서, 제 일을 제대로 해내지 못하면 대신 해결해줄 사람이 없다고 생각했기 때문에 맡은 일을 철저히 해내기 위해 노력했습니다. 이러한 성장과정으로 저는 어려서부터 ‘책임감’을 키울 수 있었습니다. 그래서 대학 시절, 성가대의 연습부장을 맡았을 당시 성가대의 실력 향상이라는 목표에 책임감을 갖고, 연습구조를 개편하였습니다. 그리고 파트간의 피드백을 통해 실력을 크게 향상시켜, 경연대회에서 우승하는 결과를 얻었습니다.""긍정""제 성격의 장점은 긍정적인 것입니다. 그래서 어려운 상황도 모두 저의 발전에 도움이 된다는 생각으로 이겨내곤 합니다. 2014년에 ‘캠퍼스 oo전략 유니버시아드’ 공모전에 도전하였을 때, 특허에 대한 지식이 전혀 없어 포기할 뻔한 적이 있습니다. 하지만 긍정적인 생각을 바탕으로 다시 도전하였고, 150여명중 상위 3명에게 주어지는 상을 수상하였습니다.                         502자857                    "
"8","[공정 이해+팀워크+체력]LG디스플레이의 Oxide TFT 공정에 기여할 수 있는 세 가지 역량을 갖추고 있습니다.첫째, TFT 공정 관련 높은 이해도입니다. ‘반도체 공정 공학(A+)’, ‘디스플레이 공학(A0)’을 수강하며 TFT 공정의 이론을 확실하게 익혔습니다. 이론을 바탕으로 2015년 여름방학 때 실험실에 있는 장비들로 직접 sputtering과 etching을 해보면서, RF power와 etching gas의 비율과 농도에 따른 etching 표면의 변화를 관찰하였습니다. 전공과목 수강과 손으로 익힌 TFT 공정에 대한 확실한 이해를 바탕으로 공정의 문제 해결에 기여하겠습니다.둘째, 합창을 통해 배운 팀워크입니다. 학교 근처 성가대에서 2년간 활동해오면서 합창을 통해 개개인의 열정과 함께 조화를 이루어야 하는 팀워크의 중요성을 깨달았습니다. 공정 엔지니어로서 생산 라인과 여러 부서 간 협력에서 저만의 팀워크를 발휘하겠습니다.셋째, 튼튼한 체력입니다. 고등학교 때부터 수영을 하며 체력을 길러, 2015년에 참여한 하계 특전사 캠프에서는 150여 명의 교육생 중에서 5명에게 주어지는 우수 수료생의 표창을 받았습니다. 입사 후에도 꾸준한 체력 관리를 통해 생산 라인의 활력소가 되겠습니다.[작은 메모들로부터 앞당길 OLED의 미래]제 목표는 차세대 대형 OLED 패널에 필요한 Oxide TFT 공정의 전문가가 되는 것입니다. 이는 제가 세계 유일의 대형 OLED 패널 양산기술을 가진 LG디스플레이에 지원한 이유입니다. 현재 Oxide TFT 공정에는 산화물 반도체 채널 층이 후속 공정에서 손상되거나, 광차단막에서 발생하는 수소이온이 산화물 반도체층으로 확산되는 등의 불량 요인들을 가지고 있습니다. 이를 해결하기 위해, 항상 손에 펜과 메모지를 들고 다니며 공정과 장치의 문제점, 해결 방안을 빠짐없이 기록한 저만의 노트를 만들겠습니다. 그리고 이를 팀원들과 공유하며 함께 ‘불량률 zero 공정’을 목표로 OLED의 미래를 앞당기겠습니다.                         1,018자1,648                    "
"9","여자라면 누구나 뷰티에 대한 관심과 욕심을 가지고 있기 마련입니다. 용돈을 아껴 모은 네일 컬러가 100개를 넘어 기숙사 방이 친구들이 즐겨 찾는 네일 사롱이 되고, 뷰티 유튜버와 블로거들의 콘텐츠를 매일 같이 챙겨보던 관심과 욕심은 에스테틱 뷰티 브랜드 ooo에서 수행통역으로 일하며 점차 동경과 열정으로 번지게 되었습니다. 사장님의 비즈니스 미팅에 동행하여 뷰티 브랜드의 중국 내 비즈니스 방식, 마케팅 수단 등을 직접 보고 배웠고, 커뮤니케이션 분야의 폭넓은 지식을 쌓을 수 있었던 전공 수업에서, 또 5년간의 프리랜서 번역 아르바이트로 다분야의 사업 문서를 번역하며 한 줄의 글, 한 장의 사진으로도 사람의 마음을 움직이는 마케팅의 매력에 빠지게 되었습니다.  이렇게 뷰티 마케팅에 대한 꿈을 키워온 저는 13년의 중국 유학생활 1이 바탕이 된 중국 시장에 대한 이해, 그리고 뷰티 마케팅에 대한 열정으로 LG 생활건강의 브랜드를 널리 알리는 일에 동참하고자 지원하게 되었습니다.                         501자853                    "
"10","[주파수 통신과 그 한계의 극복, VLC]저는 VLC기술 상용화의 선두주자에 LG전자와 함께 하고 싶습니다. 최근 2.1 및 2.6GHz의 황금주파수의 할당을 놓고, 방송 및 통신사간의 치열한 대립이 있었습니다. 첨예한 갈등이 일어나는 이유는 무선통신에서 한정된 주파수가 가지는 한계 때문이라고 생각합니다. 저는 주파수의 한계의 극복을 위해, 미래의 기술인 VLC가 상용화되어야 한다고 생각합니다. VLC는 RF무선과 다르게 인증이 필요 없으며, 주파수가 가지는 간섭도 없습니다. 또한 고속 스위칭의 LED의 사용으로, LTE-A보다 60배나 빨라 점점 더 고속화 되어가는 통신 시대에 적합하다고 판단되며, 그 보안성 또한 뛰어납니다. 어쩌면 신기술 상용화에 앞장선다는 것은 리스크가 큰 도전일 수도 있습니다. 하지만 도전을 꺼리는 것은 세계적인 LG전자의 입지를 다지는데 걸림돌이 될 것입니다. 저는 VLC기술의 상용화에 앞장서서 새로운 시대를 여는 LG전자의 선봉장이 되고 싶습니다.                         508자836                    "
"11","저는 새로운 것을 접하고 그것을 통해 제 주변에 도움을 주는 것을 좋아합니다.저는 어릴 때부터 다양한 전자제품을 사용하는 것을 좋아했습니다. 주변에 있는 기계를 만져 보고, 새로운 걸 발견하면 가족에게 알려 주고는 하였습니다. 기능이 있음에도 아무도 몰랐던 것들을 발견하며 보람을 느꼈습니다. 학창시절에는 컴퓨터 관리를 맡아서 하였고, 주변에서 MP3 플레이어같은 작은 전자제품을 사용하다가 모르는 게 있으면 제게 찾아와서 물어보기도 했습니다. 또한 다양한 전자제품을 사고 팔면서 새로운 것들을 접하는 즐거움을 느꼈습니다. 1대학교에 진학해서는 고전음악 감상 동아리에서 활동하였습니다. 현재까지 활동하며 음향 장비 조작을 가르쳐 주는 역할을 했고 동아리방의 환경을 개선하는 데도 항상 관심을 가졌습니다.한편 저는 2년간 공군에서 정훈병으로 복무했습니다. 새로운 것을 배우는 보람과 다른 사람을 도와 주는 즐거움으로 군 생활을 보냈습니다. 영화 상영, 영상 촬영과 편집 등 많은 새로운 일을 배우면서 보람을 느꼈고, 새로운 장비가 들어오면 가장 먼저 배워서 알려주고, 자전거를 도맡아서 수리해 주기도 했습니다.전역 이후에는 제 전공과 관련이 깊은 데이터 처리와 분석에 대해 관심을 가져 빅데이터 동아리에 가입하였습니다. 데이터 처리를 위해 통계패키지인 R과 프로그래밍 언어인 PYTHON을 배웠습니다. 동아리에서 활동하면서 프로그래밍을 배우는 것에 즐거움을 느꼈고, 데이터를 처리하고 분석하는 것에 대한 흥미를 가지게 되었습니다. 한편 동아리원들과 엠티를 갔었는데, 개인적으로 재료를 더 사와서 끓여 준 찌개가 반응이 매우 좋았던 것이 동아리에서 가장 보람 있는 일이었습니다. 올해 여름에 롯데멤버스에서 했던 인턴 프로그램에서는 SAS를 사용하여 데이터 분석 경험을 쌓았습니다. 1작년 10월 부터는 여러 방면에서 도움을 받았던 교내 커뮤니티에 보탬이 되고자 게시판 관리자를 맡아 불량 게시물을 삭제하고 유저와 소통하는 일을 맡고 있습니다.                         979자1,689                    "
"12","저는 프로그래밍을 배우고 평소에 관심이 많았던 IT 업계에서 일하기 위해 IT OO Academy에 지원하였습니다.제가 어릴 땐 시내버스에 토큰이라는 것이 있었고, 지하철을 탈 땐 종이로 된 승차권을 사용했습니다. 하지만 지금은 휴대폰으로 직접 결제를 하는 세상이 되었습니다. 최근 20년간 IT 기술의 우리 삶의 모습을 완전히 바꿔 놓았고, 저는 어릴 때 부터 새로운 기술에 관심을 많이 가져 왔고, IT가 앞으로 어떻게 삶을 바꿔 나갈지에 대해 알고 싶습니다. 1통계학과에 재학하며 다양한 수업을 들었지만, 제가 가장 관심이 있었던 것은 통계 프로그래밍 수업이었습니다. R이나 SQL 코드를 짜서 결과를 도출하는 것은 정말 흥미로운 일이었습니다. 빅데이터 동아리에서 학회를 할 때도 통계 프로그래밍을 공부했습니다. R과 PYTHON을 이용해 내부 과제를 수행했습니다. 코딩에 관심이 있어 개인적으로 C와 PYTHON을 공부하기도 하였습니다. 1                         474자787                    "
"13","담당 지역의 양판점/대리점이 최고의 판매 역량을 갖추게 함으로써 상권 내 최대 효율의 경쟁력을 발휘할 수 있게 만들겠습니다. 목표 달성을 위해 다음과 같은 구체적 계획을 설정했으며, 반드시 목표를 이행하겠습니다.1년, 관리자의 자격제품과 시장에 대해 열의를 가지고 공부하여 입사 1년 내에 한 사람 몫 그 이상을 할 수 있는 영업관리자가 되겠습니다.3년, Channel Booster현장을 통찰력있는 시각으로 조망하며 매장 환경 및 판매 방식의 문제점을 개선해 나가겠습니다. 이를 통해 담당 지역 내 모든 매장이 최대의 매출/영업이익 상의 성과를 낼 수 있게 하겠습니다.5년, 현장의 마에스트로고객을 누구보다 잘 알고, 고객에게 사랑받는 매장을 조성하고 판매원을 양성하는 영업관리자로 자리 잡겠습니다.10년, Supporting Leader신 성장동력을 모색하며, 후배들이 더욱 효율적으로 기분좋게 일할 수 있는 환경을 조성하는 리더로 성장하겠습니다.                         500자820                    "
"14","‘도전의 가치를 알고 있는지’, ‘삶 속에 얼마나 녹아있는지’ 이 두 가지가 제가 회사를 선택하는 기준입니다. 그 기업의 발전 가능성을 보여주는 지표가 도전이라고 생각합니다. 도전은 움직이게 합니다. 그리고 도전은 혁신과 발전을 가져옵니다. 실패하더라고 배울 수 있는 점을 만들어내고 미래의 모습을 그리게 합니다. 그리고 기업은 사람의 삶 속에 녹아있어야 합니다. 같이 살아가며 사람들의 원동력이 되어야 하고 잊혀지면 안됩니다. 그리고 LG디스플레이는 이것의 가치를 알고 있습니다.LG디스플레이는 도전의 가치를 알고 있습니다. 그리고 제가 보는 LG디스플레이는 도전을 최고의 미덕으로 삼고 있습니다. IPS, AIT, 3D와 같은 기술분야 그리고 세계최고의 디스플레이 제품을 생산해냈고 투명 플렉서블 디스플레이와 같은 새로운 방향으로 또 다시 도전하고 있습니다. 한 명의 LG디스플레이 직원으로서 단기적으로는 업무의 전문성을 갖고 멀게는 생산기술 분야의 전문가가 되어 LG디스플레이의 도전에 함께하고 싶습니다.LG디스플레이는 우리의 삶 속에 녹아있습니다. 지금도 많은 사람들의 곁에 LG디스플레이의 제품이 자리잡아 삶의 질을 높여줍니다. 저는 제가 가진 가치를 사람들의 삶에 녹아 들도록 하고 싶고 LG디스플레이에서 완벽한 제품을 생산해내는 생산기술 직무를 통해 실현하고 싶습니다.산학협력인턴으로 OO사에서 근무를 한 경험이 있습니다. 근무기간 동안 일관되며 정확한 동작을 수행하는 기기를 보면서 그것에 매료되는 저를 발견할 수 있었고 또한 생산기기의 작동오류와 이에 따른 작업의 지연 및 생산량의 하락을 볼 수 있었습니다. 이는 정밀한 동작수행과 높은 안정도를 통해 양질의 제품 생산 및 생산량 증대를 가능하게 하는 자동화 설비 시스템 설계를 진행하고 싶다는 생각으로 바뀌었고 이를 실현하기 위해서 역량을 키워왔습니다. 완벽한 생산과 품질개선을 위한 새로운 시스템개발에 제가 같이 있고 싶습니다. 제 세부전공인 제어로봇공학의 전공적 지식과 걸어온 길은 이곳에서 꽃을 피울 수 있을 것 입니다.                         1,046자1,789                    "
"15","지원 회사 선택 시 제 자신에게 묻는 질문은 두 개입니다. 첫 번째 질문은 ‘끊임없이 도전하고 혁신하는 회사인가?’이고 두 번째 질문은 ‘내가 그 회사에 기여할 수 있는가?’입니다. 이 두 질문에 제가 자신 있게 대답할 수 있는 회사가 LG상사였습니다. [도전의 가치를 알고 있습니다]저의 인생의 중요한 순간에 도전하는 것을 주저하지 않았습니다. 고등학교 선택 시 전통이 있는 외국어 고등학교 대신에 개교한지 1년이 되는 외고를 선택했고, 대학교도 새로 개설된 학과를 선택했습니다. 이러한 도전을 통해 저는 한 단계 더 성장할 수 있었습니다.제가 진학한 고등학교는 기숙사학교였습니다. 아직 미성숙했던 시절 저는 기숙사 생활을 통해 커뮤니케이션 능력과 적극적인 대인관계 능력을 기를 수 있었습니다. 대학교에서는 저의 과만의 수강선택 정책으로 인해 전문성을 가진 Generalist로서의 역량을 키울 수 있었습니다. 도전은 저의 발전과 성장의 원동력입니다.[LG상사는 고인 물이 아닙니다] 고인 물은 썩는다는 속담에서 알 수 있듯 발전 없는 사람은 남보다 뒤떨어지게 됩니다. 저는 도전을 한 경험을 통해 사람처럼 기업도 도전과 혁신을 하지 않는다면 고인 물이 되어 성장하지 못 할 것이고 위기에 빠질 것이라는 것을 알게 되었습니다.                          652자1,098                    "
