"","x"
"32","[공대생, 특허에 도전하다]2014년 ‘캠퍼스 특허전략 유니버시아드’라는 공모전에 수상을 목표로 도전하였습니다. 처음 접하는 특허 용어와 기술들을 공부하는 데 대부분의 시간을 투자하면서, 보고서 제출이 열흘도 남지 않게 되었습니다. 부족한 시간 속에서도 ‘끝날 때까지 끝난 게 아니다’라는 생각을 가지고 3천여 건의 특허와 논문들을 밤을 새워 분석하여 보고서를 완성했습니다. 발표심사 때는 심사위원들에게 기술을 좀 더 자세하고 이해하기 쉽게 설명하기 위해 수십 번의 예행연습을 거쳐 발표를 다듬었습니다. 또한, 다른 도전자들과의 차별화를 위해 특허의 개량발명 아이디어를 추가로 구성하여 150여 명 중 상위 3명에게만 주어지는 상을 받는 결과를 얻었습니다.공모전 경험을 통해 제가 얻은 것은 특허 분석 능력뿐만 아니라 ‘난 할 수 있다!’ 라는 자신감이었습니다. 그리고 이 자신감은 향후 LG디스플레이의 공정 엔지니어로서 공정의 문제 해결에 끊임없이 도전하는 원동력이 될 것입니다.                         505자863                    "
"33","제게 있어 가장 중요한 가치는 바로 정직입니다. 외동딸로 태어나 부모님의 기대를 온몸으로 받고 자랐지만, 부모님은 제가 받아쓰기를 100점 맞는 아이보다 정직한 사람이 되길 바라셨고 항상 떳떳한 사람이 되라고 강조하셨습니다.  oo 인턴 근무 시절, 기존 월급의 두 배에 달하는 급여가 제게 지급된 적이 있었습니다. 저보다 한 달 먼저 일을 시작한 인턴 동료의 근무일수와 동일하게 계산하는 착오가 있었던 것입니다. 불어난 잔고는 달콤해 보였지만, 떳떳함을 버리고 택할 만큼 가치 있어 보이지는 않았습니다.  인사팀에 급여 지급 오류를 말씀드리고 난 뒤 남은 월급으로 사 먹은 간식이 초과 지급된 월급보다 훨씬 달콤하다는 걸 알게 된 후, 지금까지도 저는 사소한 거짓말 하나조차 하지 않는, 정직이라는 중요한 가치를 지킬 줄 아는 사람이 되려 노력하고 있습니다.                         431자732                    "
"34","[미래 개발자의 프로젝트 성공기]디자인 프로젝트의 주제로 irLED를 사용한 MIMO 통신에 대해서 설계하였습니다. 단일 irLED를 사용하였을 경우보다, 3X3의 공간적인 배치를 구성하고 특정 패턴을 사용하여 통신을 구성할 경우, 좀 더 많은 정보량을 송수신 할 수 있다는 것에 중점을 두었습니다. 학부생으로 적외선 통신에 대해 깊이 있게 배울 수 있는 기회는 없었지만, 적외선 통신의 높은 보안성과 전파의 간섭이 없다는 강점은 주제 선택에 있어서 충분히 매력적으로 느껴졌습니다. 설계를 진행 할 때, 가장 중요한 점은 현실성과 분석력이라 생각합니다. 개발자는 고객의 만족을 위해 단가, 면적 등을 고려하여 현실적으로 가능한 제품을 개발하여야 합니다. Or cad 및 P-spice를 통한 시뮬레이션 결과와 LED의 Rising Time등의 소자의 데이터 시트를 통해, 실제 프로젝트에 적합한 부품을 적용하였습니다. 프로젝트 도중에 있을 수 있는 제한 요소 및 대처방안에 대해서 미리 준비하고, 공부하였습니다. 그 결과 자연광의 영향 및 좁은 각도 등의 제한요소들을 극복하고, 최소한의 시간으로 프로젝트를 성공할 수 있었습니다.하지만 프로젝트의 성공 과정에 문제가 없었던 것은 아닙니다. 저는 갑작스러운 조원의 부재로, 다른 팀에 속하여 설계를 진행할 수밖에 없었습니다. 다른 생각을 가지는 팀원과의 설계에는 어려움이 많았습니다. 개인적으로 투자되는 시간은 많았지만 구상해놓았던 프로젝트 주제의 의미와 구성을 조원들에게 설명해주었고, 변화된 환경에서의 빠른 적응과 새로운 팀원들 간의 협력으로 이루어낸 성공적인 결과였습니다. 현재 개발자는 사람들과의 복합 요소가 소통되어 성과를 창출합니다. 저는 개발자로 분석 능력과 급변하는 환경 속에서 소통할 줄 아는 인재입니다. LG전자의 개발자로서 저의 역량은 협력이 중요해지는 개발 시스템의 환경변화에 쉽게 적응하여 최고의 성과를 낼 수 있을 것입니다.                         970자1,634                    "
"35","저는 어릴 때부터 전자제품을 좋아했습니다. 또한 초창기부터 스마트폰을 사용하면서 언제나 전지와 함께했습니다. 항상 전지의 용량을 신경 쓰고, 보조 배터리를 만들기 위해 LG 화학의 18650 전지를 구매한 적도 있습니다. 또한 전기차에서도 수천개의 18650 전지를 사용한다는 것을 알고 흥미를 갖게 되었고 앞으로 전지 산업은 발전할 것이라 생각하였습니다.제조업에서 무엇보다 중요한 것은 신뢰입니다. 성능과 디자인은 새로운 제품이 출시될 때마다 변하지만 브랜드에 대한 신뢰는 쉽게 쌓을 수 없습니다. 그래서 품질 관리가 중요하며 특히 폭발의 가능성이 존재하는 리튬 이온 전지는 품질 관리가 실패한다면 현재 큰 이슈가 되고 있는 갤럭시 노트7 처럼 기업의 수익과 이미지에 치명적인 타격을 주게 됩니다. 저는 학교와 동아리에서 쌓은 통계 지식과 프로그래밍 능력을 바탕으로 LG 화학의 전지가 앞으로도 신뢰받는 제품을 만들 수 있도록 기여하고 싶습니다. 1                         478자817                    "
"36","저는 통계학과에 재학하며 통계 프로그래밍 수업을 수강하였습니다. 컴퓨터 자료 처리 수업을 통해 R과 SAS를 배웠고, 데이터 분석 및 설계 수업을 들으며 MSSQL을 배웠습니다. 기타 통계 수업에서도 프로그래밍 언어를 사용하는 수업을 다수 수강했습니다.2014년 하반기에는 반 년간 OO에서 인턴으로 일했습니다. java script 기반의 설문조사 코딩 언어 2가지를 배워서 바로 현업에 활용하였습니다.인턴을 마치고 빅데이터 동아리에 가입하여 10개월간 활동하였습니다. 동아리에서 R을 공부하였고 데이터 처리를 위해 PYTHON도 함께 배워 패키지를 이용한 웹사이트 크롤링과 자연어 처리, 데이터 핸들링을 배웠습니다.2016년 하반기에 OO인턴으로 일하며 SAS를 통해 서버에서 데이터를 추출하여 분석하는 과제를 수행하였습니다. 1                         414자685                    "
"37","담당 지역의 양판점/대리점이 최고의 판매 역량을 갖추게 함으로써 상권 내 최대 효율의 경쟁력을 발휘할 수 있게 만들겠습니다. 목표 달성을 위해 다음과 같은 구체적 계획을 설정했으며, 반드시 목표를 이행하겠습니다. 1년, 관리자의 자격 제품과 시장에 대해 열의를 가지고 공부하여 입사 1년 내에 한 사람 몫 그 이상을 할 수 있는 영업관리자가 되겠습니다.3년, Channel Booster 현장을 통찰력 있는 시각으로 조망하며 매장 환경 및 판매 방식의 문제점을 개선해 나가겠습니다. 이를 통해 담당 지역 내 모든 매장이 최대의 매출/영업이익 상의 성과를 낼 수 있게 하겠습니다.5년, 현장의 마에스트로 고객을 누구보다 잘 알고, 고객에게 사랑 받는 매장을 조성하고 판매원을 양성하는 영업관리자로 자리 잡겠습니다. 10년, Supporting Leader 신 성장동력을 모색하며, 후배들이 더욱 효율적으로 기분 좋게 일할 수 있는 환경을 조성하는 리더로 성장하겠습니다. 503자823                    "
"38"," ‘왜 안될까?’하는 생각은 저를 움직이게 했습니다. 외부 소음에 따른 자동볼륨조절 시스템을 졸업작품으로 제작하였고 이 과정에서 음성신호처리 부분에 문제점이 발생하였습니다. 문제의 해결을 위해 유사한 특허를 분석하였고 기술을 보유하고 있는 마이티웍스사에 현재 처한 문제점에 관하여 메일을 보내 이에 대한 전문가의 피드백을 받았습니다. 완벽한 답을 받지는 못했지만 지속적인 해석과 노력으로 문제를 정확하게 분석하여 성공적으로 졸업작품을 완성시켰습니다. 문제 해결과정에서 팀원들과 밤을 지새워가며 답을 찾을 수 있는 행동의 실천을 경험하였고 팀원 전원이 A+의 성적을 받은 의미 있는 기회가 되었습니다.군 전역 후 돌아간 동아리는 신입생의 부재, 열악한 기자재 현황, 회원의 의욕 상실과 같은 큰 문제에 부딪혀있었고 이러한 상황에서 책임감을 갖고 회장직에 도전했습니다. 교육, 총무, 홍보 등으로 역할을 나누고 일을 배분하여 회원들에게 책임감을 부여하였고 교내 및 외부기관을 통한 지원금획득 후 동아리 내 하드웨어 및 컴퓨터언어교육, 프로젝트를 통한 하드웨어 교육을 실행하였습니다. 이를 통해 전자공학부 동아리 성적 O등 전기전자컴퓨터 공학부 동아리 O위의 성적을 달성할 수 있었습니다. 이러한 경험은 저에게 리더십을 통한 협력과 발전의 방법, 조직에 대한 헌신과 책임감을 배우게 하였습니다.앞으로 제가 원하는 삶은 지속적인 도전과 그에 대한 관심 그리고 공부입니다. 더 나은 환경과 결과를 위해 꾸준히 부딪혀 갈 것 이고 그 과정을 LG디스플레이 공정/장비직무에서 이루고 싶습니다. 문제에 직면 했을때 해결하기 위한 접근방법, 조직원과의 소통과 조직에 대한 헌신 및 책임감은 해당직무에서 많은 도움을 줄 것 이라 생각입니다. 완벽한 생산과 품질개선을 위한 새로운 시스템개발에 제가 같이 있고 싶습니다. 제 세부전공인 제어로봇공학의 전공적 지식과 걸어온 길은 이곳에서 꽃을 피울 수 있을 것 입니다.                         1,003자1,725                    "
"39","[단점의 극복은 또 다른 성장이었습니다]제 성격의 장점은 철저함입니다. 저는 수행비서로서 정확한 시간별 이동 동선을 계획하고 일정에 따라 혹시 모를 일에 대한 대비책을 준비하는 것이 저의 업무였습니다. 업무를 통해 몸에 밴 철저함은 위기를 헤쳐나가는데 도움이 되었습니다. XXX이 XXX와 화상회의가 잡힌 날이었습니다. 그런데 XXX에서 복귀 중 예상치 못한 사고로 인한 교통정체로 회의 시간을 맞출 수 없었습니다. XXX와의 회의였기 때문에 정시에 참석하는 것은 필수적이었습니다. 다행히 대비책으로 차량에 실은 노트북과 와이브로 수신기로 화상회의를 시간에 맞게 진행할 수 있었습니다.하지만 계획에 대한 철저함은 저의 계획에 대한 지나친 믿음으로 인해 고집으로 변질되어 단점이 되기도 했습니다. 학업계획이나 팀 프로젝트 계획에 있어서 다른 사람의 조언보다는 저에 대한 믿음이 너무 강했습니다. 이러한 단점을 극복하기 위해 영어토론 동아리에 가입했습니다. 토론 동아리에서 저와 반대되는 의견을 듣는 것은 물론, 그 의견이 옳다고 주장하기도 해야 했습니다. 또한, 주요 토론대회에서 자격시험을 통해 심사위원 자격을 얻어 활동하면서 저와 반대되는 의견에 대해 경청하고, 더 설득적이라면 높은 평가를 해야 하는 경험을 했습니다. 이러한 경험을 통해 고집이 아닌 남의 의견을 충분히 고려하는 유연한 사고를 가지게 되었습니다.[철저히 관리하겠습니다]재경은 돈을 다룰 뿐만 아니라 유관기관과의 업무도 많습니다. 그렇기 때문에 세밀하고 철저한 업무처리가 필수적입니다.  또한, 영어 토론 동아리 활동을 통해 다른 의견도 충분히 고려하는 유연한 사고를 가지게 되었습니다. 상사는 산업의 특성상 경기변동에 영향을 많이 받습니다. LG상사의 재경인으로서 저의 역량을 기반으로 철저하고 효율적으로 자금과 자산관리를 하여 LG상사에 기여하겠습니다.                         941자1,604                    "
"40","[경영분석 분야의 전문가가 되겠습니다]재무의 중요한 역할 중 하나는 경영진에게 정확한 재무정보를 제공하는 것입니다. LG전자는 신시장 개척·선도를 위해 R&D에 투자를 늘리고 있습니다. 올해 상반기에만 2조 72억 원을 R&D에 투자했으며 매출 대비 R&D 투자 비중도 7.3%로 증가했습니다. 정확한 분석으로 수익성 향상을 위해 통제해야 할 비용 계정 등의 정보를 제공하여 안정적으로 현금이 관리 되도록 하겠습니다. 안정적인 현금흐름을 통해 R&D 투자가 지속적으로 진행되도록 하겠습니다. 투자에 따른 R&D 역량이 미래 경쟁력을 확보로 이어져 많은 영업이익을 창출케 하는 선순환 구조에 기여하겠습니다.이를 위해 단기적으로는 재무제표 항목과 각 사업부문 간의 연계성과 자금 흐름을 공부하며 회사의 전반적인 이해를 하는 데 노력하겠습니다. 장기적으로는 CFA, 재경관리사와 같은 자격증을 공부하여 직무 전문성을 향상시켜 이론과 실무 능력을 겸비한 전문가가 되겠습니다.                         497자838                    "
"41","군 제대 후 목표를 갖기 위해 경영학 각 분야와 관련된 서적을 읽었습니다. 그중XXX라는 책을 통해 꿈을 갖게 되었습니다. 재무회계를 처음에는 단순히 장부라고만 생각했습니다. 그러나 이 책을 읽고 난 후, 재무제표가 기업의 경영상태를 판단하고 개선할 수 있는 도구이자 기업의 언어라는 것을 깨달았습니다. 재무제표상의 숫자를 통해 기업과 주주 그리고 정부기관과 같은 이해관계자가 커뮤니케이션을 한다는 것이 흥미로웠고 매력적으로 다가왔습니다.회계와 관련된 진로를 고민했고 회계사에 도전했습니다. 1차만 통과하고 최종 합격은 하지 못했지만 재무, 회계학, 세법 그리고 상법과 관련하여 심화된 지식을 습득했습니다. [꼼꼼함]1년여 동안 XXX에서 영문과 국문 서신 번역 검수 업무를 맡았습니다. 매주 10여 통의 국문과 영문으로 번역된 서신이 배정되었고, 잘못된 번역이나 오타가 없는지 꼼꼼히 확인했습니다. 1년여간 약 500여 통의 서신을 검수하였고 자연스럽게 꼼꼼함이 몸에 배었습니다.[분석력]XXX 인턴 당시 새롭게 도입되는 ERP에 대한 분석 지원 업무를 맡았습니다. ERP에 대한 지식이 없던 저는 제조사 및 전산부서에서 자료를 받아 공부했습니다. 기존 사용 ERP 매뉴얼과 도입되는 ERP 매뉴얼을 분석하여 차이점을 자료로 가공해서 팀원들에게 제공했습니다.[선순환의 한 축이 되겠습니다]매출의 60%가 건축자재 부문에서 발생되는 LG하우시스는 지속 가능한 성장을 위해 사업 포트폴리오 확대를 위해 노력하고 있습니다. 이를 위해 차량 부품 경량화 부문에 있어 R&D 투자를 늘리고 있으며 M&A를 추진하고 있습니다. 직무역량을 통해 정확한 분석으로 수익성 향상을 위해 통제해야 할 비용 계정 등의 정보를 제공하겠습니다. 효율적 자금 관리를 지원하여 투자가 지속적으로 이루어지도록 하겠습니다. 투자에 따른 R&D 역량과 성공적인 M&A가 미래 경쟁력을 확보로 이어져 많은 영업이익을 창출케 하는 선순환 구조에 기여하겠습니다.                         1,001자1,678                    "
"42","[고객의 갈증을 해소해주는 H2O]Hero : 3년 안에 전국 실적 1위를 달성하여 LG생명과학의 '영웅'이 되겠습니다. 이를 달성하기 위해 30명의 원장님들과 라포를 형성하는 것을 목표로 삼겠습니다. 또한, 학술 저널 및 임상 자료를 지속적으로 업데이트하여 고객의 학술적 니즈를 충족시키겠습니다.History : LG생명과학의 해외 진출 '역사'를 창조하겠습니다. 학창시절 필리핀과 미국에서 생활하며 쌓은 글로벌 역량과 국내 영업에서 갈고닦은 노하우를 바탕으로 글로벌 핵심 인력으로 성장하겠습니다. LG생명과학의 라이센스 아웃 업무에 앞장서 LG생명과학의 글로벌화에 기여하겠습니다.Opportunity : 환자에게 새 삶의 '기회'를 제공하겠습니다. 제약 영업은 곧 누군가의 건강을 책임지는 업무입니다. 약이 환자에게 전달되는 과정의 일부를 담당하기 때문입니다. 환자에게 새 삶의 '기회'를 전달한다는 자부심으로 LG생명과학이 '글로벌 1등 LG'로 거듭나는 길에 동행하겠습니다.                         505자832                    "
"43","[다 함께 황하 발원지에 오르다]2013년 팀원 9명과 4,200km 황하를 따라 해발 4,300m 황하 발원지를 목표로 대장정을 했습니다. 한국에서 철저히 세운 계획 덕분에 대장정은 순조롭게 진행됐습니다. 하지만 대장정 막판에 고산지대에서 팀원 3명이 고산병에 걸렸습니다. 두통과 구토 때문에 대장정은 잠시 중단됐으며 예기치 못한 상황에 팀원들은 혼란에 빠졌습니다. 저는 팀장으로서 어떤 상황에도 다 같이 목표를 이뤄내고자 했습니다. 먼저 다 함께해낼 수 있음을 강조하여 결속력을 높였습니다. 이후 대화로 분위기를 긍정적으로 만들며 동시에 응급처치와 마사지로 신체회복을 도왔습니다. 어느 정도 회복된 후에는 짐을 나눠 들고 페이스를 낮춰 트래킹을 이어갔습니다. 이로써 일정 지연을 최소화하여 3,800m에 있는 마을, 마둬에 도착할 수 있었습니다. 꼭 해낸다는 도전정신이 있었기에 전부 가능했습니다. 이후 고산병에서 완쾌하여 황하 발원지에 도착했고 대장정을 성공적으로 마칠 수 있었습니다.                         510자859                    "
"44","[다 함께 황하 발원지에 오르다]2013년 팀원 9명과 4,200km 황하를 따라 해발 4,300m 황하 발원지를 목표로 대장정을 했습니다. 한국에서 철저히 세운 계획 덕분에 대장정은 순조롭게 진행됐습니다. 하지만 대장정 막판에 고산지대에서 팀원 3명이 고산병에 걸렸습니다. 두통과 구토 때문에 대장정은 잠시 중단됐으며 예기치 못한 상황에 팀원들은 혼란에 빠졌습니다. 저는 팀장으로서 어떤 상황에도 다 같이 목표를 이뤄내고자 했습니다. 먼저 다 함께해낼 수 있음을 강조하여 결속력을 높였습니다. 이후 대화로 분위기를 긍정적으로 만들며 동시에 응급처치와 마사지로 신체회복을 도왔습니다. 어느 정도 회복된 후에는 짐을 나눠 들고 페이스를 낮춰 트래킹을 이어갔습니다. 이로써 일정 지연을 최소화하여 3,800m에 있는 마을, 마둬에 도착할 수 있었습니다. 꼭 해낸다는 도전정신이 있었기에 전부 가능했습니다. 이후 고산병에서 완쾌하여 황하 발원지에 도착했고 대장정을 성공적으로 마칠 수 있었습니다.                         514자863                    "
"45","[함께 일하고 싶은 사람]생산기술원 연구원은 유관부서와 협업할 상황이 많을 것입니다. 이에 ‘우수한 실력’과 ‘훌륭한 인품’으로 최대의 효과를 내는, 함께 일하고 싶은 사람이 되겠습니다.먼저 실력을 갖추겠습니다. 전자재료, 재료화학 강의를 통해 반도체, 디스플레이 주요 재료와 공정에 대해 배우고, 반도체 연구실 CO-OP을 통해 소자 제작과 설비 운용을 하며 R&D 실무 경험을 쌓았습니다. 하지만 생산시스템과 공정 장비에 대한 이해는 아직 부족하다고 생각합니다. 이에 입사 후 2년 동안 생산기술지식과 업무를 익히는 데 중점을 두겠습니다. 또한, 글로벌 시장을 주시하고 그에 맞는 외국어를 배우겠습니다.더불어 훌륭한 인품으로 팀원과 고객이 함께 일하고 싶은 사람이 되겠습니다. 항상 배우려는 자세로 타의 모범이 되고 단체생활에서 배운 소통, 협력하는 능력으로 프로젝트를 효율적으로 이끌겠습니다. 이러한 실력과 인품으로 LG전자 고유의 혁신적인 생산시스템 확보를 이뤄내겠습니다.                         504자859                    "
"46","먼저, B2B영업은 기술적인 서비스를 제공하기 때문에 먼저 제품에 대한 이해를 선행할 것입니다. 문과이기에 이해하지 못한 부분들을 엔지니어들과 지속적인 접촉을 통해 보완하겠습니다. 그 누구보다 제품에 대해 이해하고 기술적인 뒷받침까지 설명할 수 있는 영업사원이 되겠습니다.둘째, 전공을 통해 얻은 경험을 바탕으로 고객의 니즈를 파악하고 적절한 서비스 제공에 있어서 두각을 나타내겠습니다. 교육을 전공했기에 많은 학생, 부모님들과 상담하는 일이 잦았습니다. 그들이 나에게 원하는 것이 무엇인지에 맞추어 대화를 진행해 나갔습니다. 이러한 경험은 B2B영업에 있어 고객의 니즈를 진단하는 데 도움을 줄 것입니다.마지막으로, 그간의 노하우를 기반으로 해외시장에 진출하겠습니다. 외고 졸업, 영어교육 전공, 카투사에서의 군생활은 글로벌 역량을 키워주었습니다. 그간의 지식과 기술을 제가 가진 역량과 결합하여 LG전자의 제품을 세계에 널리 알리는 데 힘써 조직의 더 큰 성장을 견인하겠습니다.                         501자863                    "
"47","[LG전자의 생산성을 책임지는 마에스트로]저는 모든 생산 프로세스와 발생할 수 있는 다양한 리스크를 분석하고 통제하여 최적의 생산계획을 수립하고 LG전자의 생산을 지휘하는 마에스트로가 되겠습니다.손자병법의 유명한 구절인 “지피지기 백전불태”에 따르면 적을 알고 나를 알면 백번 싸워도 위태롭지 않다고 하였습니다. 생산성 향상이란 목표 아래, 생산 프로세스 내 낭비를 제거하고 최적의 생산계획을 수립하기 위해 세심한 관찰력과 철저한 분석으로 LG전자의 생산 프로세스를 파악하겠습니다.또한 유연한 사고를 지닌 마에스트로가 되겠습니다. 생산 프로세스 내에선 산업 내외적인 다양한 리스크가 항상 도사리고 있습니다. 예측 불가능한 리스크가 발생했을 때 긍정적 사고와 창의적인 문제 해결을 통해 유연하게 상황을 대처할 수 있는 힘을 기르겠습니다.  나의 손짓 하나에 모든 생산 프로세스가 진행 된다는 책임감과 사명으로 LG전자의 생산성 향상에 앞장서겠습니다.                         490자842                    "
"48","[열정과 팀워크로 이룬 마지막 도전]4학년 졸업 작품 설계시간이었습니다. 4인이 한 조가 되어 MCU를 이용한 작품을 만들어야 했습니다. 흔히 말하는 족보처럼 학점받기 쉬운 소재들이 많았지만 저희는 4년간의 배움이 헛되지 않으려 드론 만들기에 도전했습니다. 부품 하나하나 직접 연결하고 코딩도 저희 손으로 직접 작성하는 것이 목표였습니다.전원, 모터, ESC, 프레임 등 모든 부품을 해외에서 직접 구매하였고, 보드는 아두이노 우노를 사용하였습니다. 저희들만의 네이버 밴드를 만들어 매일 정보를 찾고 공유할 정도로 열심히 했습니다. 정보수집이 끝나고 9축 센서를 부착해 X-축과 Y-축 PID제어를 하려했지만 생각처럼 쉽지는 않았습니다. PID 각각의 값에 따라 드론은 다르게 동작했고 정확한 값을 찾기란 매우 어려웠습니다. 이를 위해 PID관련 서적을 셀 수 없이 많이 빌려 읽었고 드론 관련 인터넷 글들을 읽고 또 읽었습니다. 정확한 값을 찾기 위해 며칠 밤낮을 자취방에서 함께 먹고자며 실험했습니다. 어느 프로젝트보다 힘들었지만 대학생활 마지막 도전이기에 모두가 열정을 다했고 서로 격려했습니다. 그 결과 드론을 띄우는 것에 성공하였고 저희의 열정에 대한 교수님의 칭찬과 좋은 학점을 받을 수 있었습니다.해당 프로젝트를 통하여 협력의 중요성과 재미를 깨달았습니다. 혼자였다면 오래 걸렸을 일들을 같이 정보를 수집하고 의논하며 빠른 시간 안에 가능하게 만들었습니다. 또한, 팀원들과의 성취감과 감동은 혼자였을 때보다 훨씬 컸습니다. 그 후로 제가 원하는 삶은 도전하는 삶, 함께하는 삶이 되었습니다. LG디스플레이의 일원으로 팀원들과 협력하며 공정이 개선될 수 있는 사항이 있다면 도전하는 공정 전문가가 되겠습니다.                         874자1,479                    "
"49","내가 생각하는 10년 후의 집이란 공간앞으로 친환경을 넘어 자연의 느낌을 느낄 수 있는 방향으로 건장재 트렌드가 흘러 갈 것이라고 생각합니다. 점점 아토피와 같은 질병을 갖고 태어나는 아이들이 많아지고 있습니다. 이런 아이들뿐만 아니라 모든 사람이 많은 시간 직, 간접적으로 접촉하는 건장재의 건강과 관련된 기능성이 중요해 질 것입니다. 또한 많은 스트레스를 받는 현대인에게 있어 중요한 휴식공간으로서의 집에 대해 관심도 계속해서 증가할 것이라고 생각합니다. 건강과 힐링, 두 가지 방향은 모두 자연을 느낄 수 있는 건장재라는 목적지로 도달할 것이라고 생각합니다.10년 후 이렇게 고급화 된 건장재의 생산성 향상 및 품질안정화 업무를 하고 싶습니다. 생산기술업무를 통해 연구개발된 건장재 들의 양산이 원활하게 그리고 품질 규격에 맞게 일정한 품질로 생산될 수 있도록 관리하겠습니다. 이를 통해 변화하는 고객의 니즈에 맞춰 제품을 문제없이 생산하여 공급하는데 기여하겠습니다.                         504자863                    "
"50","[ Internet of EVERYTHING. 만물 인터넷 시대를 맞이하여 ]만물 인터넷 시대가 다가오고 있습니다. 전자 제품의 서비스 영역이 생활 전반으로의 확장될 것이라는 기대와 함께, ""생활""과 ""기술""의 융합은 피할 수 없게 되었습니다. 이러한 만물 인터넷 시대를 맞이하여, 저의 전공인 인문학을 잘 살려 삶의 트렌드를 읽어내는 사람이 되고 싶습니다. 그리고 이를 영업에도 잘 적용하는 사람이 되고 싶습니다. 10년 후에는 이러한 전 세계인의 생활 속에서 제가 판매한 생활 가전이 사용되는 것을 꼭 보고 싶습니다.저의 전공은 서어서문학입니다. 또한 연계전공 또한 EML(Emerging Market and Latin America)입니다. 전공을 살려 주재원으로 나가는 것은 저의 오랜 꿈입니다. 먼 훗날에는 중남미 국가에 가서, LG전자의 해외시장진출을 성공적으로 이끌고 싶습니다.                         460자728                    "
"51","저는 10년 후 LG전자가 자동차 부품업계에서 당당히 1위 기업으로 자리매김하는데 주축이 되고 싶습니다.2020년부터 양산의 본격화가 예상되는 자율주행 차량은 2025년 시장 규모가 45조 원에 달한다고 전망되고 있습니다. 큰 시장이 기대되는 만큼 해외완성차 및 부품업체들은 자율주행기술개발을 꾸준히 하고 있으며 LG전자 또한 지난해 VC사업부에서 1조 원의 매출을 달성하며 높은 성장세로 규모를 키워가고 있습니다.점점 자동차가 전자화됨에 따라 운전자지원시스템(ADAS) 부품의 기술력은 더욱 회사가 성장하는데 필수적인 요소라고 생각합니다. 이러한 ADAS의 개발에서 비전인식분야는 저가의 센서로 고가센서를 대체할 수 있는 가장 중요한 기술입니다. 이러한 비전인식분야에서 국내 기업 중 가장 높은 기술력을 가지고 있는 LG전자는 앞으로 자율주행기술을 성공적으로 개발할 수 있는 기업입니다. 이러한 LG전자에서 근무하여 자율주행분야에서 으뜸가는 기업으로 성장하는데 이바지하고 싶습니다.                         506자858                    "
