"splt_sm","Freq"
"사람",365
"삼성",351
"삼성전자",302
"고객",289
"친구",282
"기술",274
"경험",244
"기업",235
"업무",232
"저의",217
"제품",207
"시장",206
"세계",202
"분야",181
"후",174
"회사",173
"꿈",170
"목표",162
"프로젝트",161
"최고",153
"반도체",149
"활동",147
"삼성화재",146
"개발",142
"지식",133
"문제",132
"생활",130
"생산",129
"컴퓨터",125
"도움",123
"바탕",123
"능력",115
"사회",111
"생각",111
"금융",110
"앞",110
"점",108
"고등학교",106
"시절",106
"관심",105
"시스템",104
"팀",104
"과정",102
"관리",102
"모습",102
"인재",102
"서비스",101
"역량",101
"설계",100
"처음",99
"학년",98
"산업",97
"함",97
"마음",96
"엔지니어",96
"공부",95
"말",93
"프로그램",93
"아버지",92
"미래",91
"교육",90
"도전",88
"성장",88
"학교",88
"노력",87
"사원",87
"보험",85
"인터넷",85
"중국",83
"공학",82
"수업",82
"지금",82
"결",81
"관련",81
"소프트웨어",81
"직원",81
"전공",80
"열정",79
"사고",78
"상황",78
"학생",76
"발전",75
"정보",75
"환경",75
"부분",73
"대학",72
"입사",72
"최근",72
"글로벌",71
"방법",71
"봉사",71
"한국",71
"사물",70
"관계",69
"긍정",68
"기본",68
"이후",67
"연구",65
"이유",65
"가치",64
"기회",64
"사업",64
"스마트",64
"준비",64
"팀원",64
"동아리",63
"적극적",62
"공정",61
"선배",61
"장점",61
"경제",60
"자격증",60
"곳",59
"스스로",59
"역할",59
"대회",58
"스마트폰",58
"전문",58
"취업",58
"해외",58
"국내",57
"대학교",57
"데",57
"소통",56
"효율",56
"교내",55
"책임감",55
"삶",54
"아르바이트",54
"자세",54
"현장",54
"기계",53
"우리나라",53
"바이오",52
"설비",52
"웨어러블",52
"인턴",52
"기능",51
"내용",50
"데이터",50
"부서",50
"개인",49
"과목",49
"속",49
"습관",49
"전기",49
"전략",49
"향상",49
"기기",48
"문화",48
"변화",48
"분",48
"메모리",47
"업체",47
"영향",47
"지능",47
"지원",47
"책",47
"처리",47
"투자",47
"성격",46
"이해",46
"교수",45
"동료",45
"물류",45
"신입",45
"전문가",45
"직무",45
"혁신",45
"흥미",45
"가능",44
"마인드",44
"모바일",44
"방식",44
"인공",44
"자신감",44
"평소",44
"기존",43
"단점",43
"마케팅",43
"부모",43
"삼성중공업",43
"선생",43
"시",43
"어머니",43
"전",43
"기간",42
"보안",42
"안",42
"자료",42
"품질",42
"가치관",41
"기반",41
"미국",41
"의식",41
"정도",41
"주변",41
"중학교",41
"플랜트",41
"사업부",40
"성공",40
"성적",40
"신뢰",40
"에너지",40
"조직",40
"직",40
"특성",40
"계획",39
"시대",39
"실무",39
"안전",39
"영업",39
"의견",39
"자동차",39
"최선",39
"홍보",39
"가족",38
"결과",38
"계기",38
"당시",38
"이슈",38
"인",38
"일본",38
"후에",38
"경영",37
"공장",37
"눈",37
"세상",37
"실력",37
"지속",37
"창구",37
"학습",37
"기술력",36
"끝",36
"대하",36
"위치",36
"이야기",36
"인간",36
"경우",35
"뒤",35
"집",35
"창의",35
"행동",35
"경쟁",34
"경쟁력",34
"매력",34
"사실",34
"영어",34
"학기",34
"힘",34
"가격",33
"규모",33
"내",33
"중요",33
"가장",32
"성과",32
"언어",32
"초등학교",32
"필요",32
"군",31
"반",31
"분석",31
"사이",31
"아이디어",31
"유럽",31
"평가",31
"핵심",31
"기초",30
"덕분",30
"서로",30
"이론",30
"책임",30
"학부",30
"현재",30
"공모전",29
"대화",29
"라인",29
"방향",29
"사용자",29
"소비자",29
"여행",29
"제작",29
"중심",29
"진로",29
"후배",29
"과제",28
"구조",28
"단체",28
"동기",28
"리더",28
"부품",28
"실험",28
"어려움",28
"업계",28
"자리",28
"차량",28
"프로그래밍",28
"만족",27
"부문",27
"브랜드",27
"융합",27
"정신",27
"핀테",27
"학급",27
"해양",27
"회로",27
"고민",26
"길",26
"네트워크",26
"상",26
"선",26
"수준",26
"순간",26
"실제",26
"입장",26
"자전거",26
"차",26
"하루",26
"그것",25
"나라",25
"눈치",25
"대부분",25
"램",25
"사건",25
"사항",25
"손",25
"인식",25
"임",25
"졸업",25
"하드웨어",25
"현실",25
"협업",25
"국가",24
"단계",24
"마지막",24
"방학",24
"비용",24
"삼성물산",24
"상담",24
"시험",24
"알고리즘",24
"의지",24
"제게",24
"주제",24
"지향",24
"캠프",24
"판매",24
"학창",24
"행사",24
"화",24
"개발자",23
"기획",23
"대표",23
"실습",23
"외국인",23
"이익",23
"전체",23
"협력",23
"효과",23
"대한민국",22
"뜻",22
"목적",22
"미소",22
"보",22
"상품",22
"센터",22
"인류",22
"일원",22
"장",22
"최적",22
"한계",22
"활용",22
"휴대폰",22
"개선",21
"기사",21
"멤버십",21
"부",21
"빅",21
"사무",21
"수요",21
"스터디",21
"역학",21
"우수",21
"웹",21
"이름",21
"장기",21
"전산",21
"직업",21
"최초",21
"태도",21
"강의",20
"결제",20
"교류",20
"마이크로",20
"배터리",20
"번의",20
"소재",20
"실패",20
"알파",20
"의사소통",20
"이미지",20
"인사",20
"인프라",20
"작업",20
"작품",20
"장비",20
"전반",20
"제도",20
"진학",20
"케어",20
"티",20
"팀장",20
"하기",20
"헬스",20
"회계",20
"가전",19
"구성원",19
"기관",19
"동시",19
"디바",19
"분위기",19
"상태",19
"운영",19
"인생",19
"입학",19
"장치",19
"점유율",19
"정부",19
"조선",19
"주요",19
"직장",19
"차별",19
"최대",19
"편의",19
"폐",19
"필수",19
"학회",19
"로봇",18
"몸",18
"병",18
"볼",18
"비전",18
"수",18
"실현",18
"일자리",18
"재고",18
"중국어",18
"채용",18
"충격",18
"카페",18
"프로세서",18
"할아버지",18
"희망",18
"공연",17
"국민",17
"군대",17
"그만큼",17
"기준",17
"대상",17
"대학생",17
"돈",17
"두려움",17
"말씀",17
"멘토",17
"배",17
"사랑",17
"손해",17
"솔루션",17
"실수",17
"약속",17
"자부심",17
"조사",17
"주인",17
"진행",17
"측면",17
"통신",17
"플랫폼",17
"학교생활",17
"해",17
"해결",17
"가슴",16
"강점",16
"경기",16
"고가",16
"고장",16
"과학",16
"국방",16
"노조",16
"대외",16
"삼성전기",16
"상사",16
"선물",16
"선택",16
"속의",16
"신호",16
"에어컨",16
"외국",16
"운동",16
"위험",16
"작년",16
"장애인",16
"제어",16
"조교",16
"지점",16
"팀워크",16
"패션",16
"페이",16
"학업",16
"현상",16
"회장",16
"갤럭시",15
"건강",15
"계발",15
"교훈",15
"니즈",15
"도",15
"도서",15
"동력",15
"매일",15
"모델",15
"모임",15
"무대",15
"문서",15
"발표",15
"방안",15
"법",15
"본인",15
"안정",15
"얼굴",15
"올해",15
"위기",15
"일반",15
"자연",15
"전국",15
"지역",15
"진심",15
"체험",15
"초기",15
"컨트롤",15
"트렌드",15
"행복",15
"호주",15
"화학",15
"히",15
"간",14
"간의",14
"겨울",14
"구성하",14
"구현",14
"기억",14
"노하우",14
"단어",14
"도중",14
"디자인",14
"리더십",14
"마찬가지",14
"모니터링",14
"문",14
"바둑",14
"비",14
"삼성생명",14
"선두",14
"성능",14
"소중한",14
"스트레스",14
"여름",14
"원리",14
"위",14
"인기",14
"일정",14
"임금",14
"재료",14
"제조",14
"주",14
"지원자",14
"추가",14
"칩",14
"카드",14
"토대",14
"판단",14
"편의점",14
"프린터",14
"개혁",13
"공",13
"공급",13
"교환",13
"구체",13
"극대",13
"달",13
"대인",13
"매출",13
"문자",13
"문제점",13
"미팅",13
"반응",13
"방",13
"범위",13
"본격",13
"부장",13
"사회생활",13
"수도",13
"수학",13
"수행",13
"시선",13
"신념",13
"열린",13
"요구",13
"요소",13
"우수한",13
"원가",13
"인물",13
"자체",13
"전공과목",13
"주자",13
"축구",13
"취미",13
"파악",13
"피드백",13
"피해",13
"학",13
"학원",13
"해당",13
"향후",13
"가야",12
"가정",12
"가지",12
"결과물",12
"계약",12
"공학도",12
"국제",12
"귀사",12
"그동안",12
"근무",12
"금융인",12
"끈기",12
"나이",12
"누군가",12
"뉴스",12
"도덕",12
"멘토링",12
"모터",12
"밀러",12
"북한",12
"불만",12
"선수",12
"성실",12
"성취감",12
"세",12
"센서",12
"소문",12
"속도",12
"수평",12
"시기",12
"시민",12
"시설",12
"시작",12
"영화",12
"예전",12
"원인",12
"위원회",12
"위해선",12
"은행",12
"의료",12
"이세돌",12
"일부",12
"자원",12
"작성",12
"잡스",12
"장소",12
"전력",12
"전역",12
"조건",12
"존재",12
"주도",12
"증대",12
"차세대",12
"체계",12
"최종",12
"크기",12
"파트",12
"평균",12
"하나하나",12
"혜택",12
"확신",12
"감성",11
"결정",11
"경력",11
"고등학생",11
"구축",11
"글",11
"기쁨",11
"기숙사",11
"날",11
"달성",11
"면",11
"물건",11
"발생",11
"발주",11
"사내",11
"사례",11
"사생활",11
"생산량",11
"선박",11
"세대",11
"손님",11
"시점",11
"앱",11
"연습",11
"웃음",11
"원",11
"윤리",11
"자격",11
"저가",11
"적",11
"전시회",11
"절감",11
"정비",11
"제안",11
"제조업",11
"조언",11
"주문",11
"주의",11
"체제",11
"친화력",11
"탐방",11
"통합",11
"팩",11
"폰",11
"한국사",11
"홈",11
"가전제품",10
"갈등",10
"감동",10
"걱정",10
"계열사",10
"공헌",10
"기능사",10
"낯",10
"논문",10
"다리",10
"담당",10
"담임선생",10
"대중",10
"도로",10
"막내",10
"만남",10
"머리",10
"무선",10
"반대",10
"반장",10
"밤",10
"보상",10
"부원",10
"사용",10
"생체",10
"생태계",10
"설명",10
"성취",10
"소스",10
"소식",10
"수강",10
"수술",10
"수출",10
"시너지",10
"실무자",10
"실적",10
"실질",10
"실천",10
"아침",10
"역사",10
"연구실",10
"연락",10
"영역",10
"우연한",10
"유지",10
"이외",10
"이전",10
"인간관계",10
"인상",10
"인자",10
"인턴십",10
"자유",10
"장단점",10
"적극",10
"적도",10
"적부",10
"정리",10
"조합",10
"종주",10
"종합",10
"주말",10
"주위",10
"중공업",10
"증가",10
"청소",10
"청소년",10
"초",10
"추천",10
"취득",10
"침체",10
"칭찬",10
"커피",10
"키워",10
"편견",10
"핸드폰",10
"호흡",10
"후임",10
"감정",9
"개념",9
"게임",9
"경진",9
"공자",9
"관리자",9
"나중",9
"노동",9
"능률",9
"단위",9
"대리",9
"드라마",9
"립",9
"말해",9
"매장",9
"멤버",9
"명",9
"물",9
"방송",9
"배려",9
"보고서",9
"보급",9
"보수",9
"부대",9
"사태",9
"선진국",9
"선행",9
"설문지",9
"손석희",9
"수출입",9
"술",9
"스티브",9
"식당",9
"쌓기",9
"약점",9
"어학연수",9
"언니",9
"옆",9
"오차",9
"운전",9
"워킹",9
"위상",9
"위주",9
"위협",9
"육성",9
"인텔",9
"일상생활",9
"일주일",9
"자질",9
"잡지",9
"저자",9
"정성",9
"주도하",9
"창조",9
"체력",9
"탈",9
"테스트",9
"특기",9
"특정",9
"편지",9
"폭발",9
"프로",9
"피",9
"하시",9
"한편",9
"할당제",9
"행보",9
"혁명",9
"흐름",9
"가게",8
"가운데",8
"거래",8
"결론",8
"결심",8
"고용",8
"관해",8
"구글",8
"구매",8
"권리",8
"귀",8
"균형",8
"그중",8
"근처",8
"낯가림",8
"내부",8
"냉장고",8
"노래",8
"대신",8
"대응",8
"독학",8
"록",8
"만",8
"모교",8
"모듈",8
"무기",8
"무역",8
"무한",8
"발",8
"발달",8
"법칙",8
"보장",8
"본분",8
"봄",8
"부가",8
"부의",8
"부정",8
"부족",8
"불량",8
"블로그",8
"사장",8
"상담사",8
"상용",8
"성사",8
"소변",8
"수단",8
"시야",8
"신경",8
"애플",8
"양산",8
"어르신",8
"연구원",8
"열풍",8
"오프라인",8
"오픈",8
"완성",8
"욕심",8
"원천",8
"위원",8
"의미",8
"자동",8
"자산",8
"자율",8
"장인",8
"재능",8
"재무",8
"적응",8
"전지",8
"점검",8
"점수",8
"정책",8
"정해진",8
"제약",8
"종이",8
"중",8
"증권",8
"지출",8
"짐",8
"집안",8
"차원",8
"차이",8
"참여",8
"창출",8
"책임자",8
"청년",8
"최신",8
"출산",8
"춤",8
"캠페인",8
"특허",8
"펑크",8
"플레이어",8
"하락",8
"학문",8
"학생회",8
"학우",8
"합",8
"합의",8
"형성",8
"훈련",8
"가스",7
"감각",7
"강사",7
"건설",7
"격려",7
"견해",7
"경쟁사",7
"고졸",7
"공간",7
"공채",7
"과거",7
"과장",7
"관광",7
"교사",7
"교통",7
"구동",7
"구성",7
"그룹",7
"기부",7
"기여",7
"내수",7
"노트",7
"느낌",7
"대결",7
"대구",7
"대국",7
"덕목",7
"도시",7
"독자",7
"동향",7
"딸",7
"라디오",7
"리조트",7
"마라톤",7
"마음가짐",7
"머신",7
"목",7
"밑거름",7
"반면",7
"반복",7
"배경",7
"백화점",7
"버스",7
"보험업",7
"본사",7
"봉사단",7
"부회장",7
"불",7
"사기",7
"상대",7
"상상력",7
"선임",7
"소자",7
"손길",7
"수화",7
"심장",7
"아래",7
"안목",7
"양쪽",7
"어린이",7
"여유",7
"연결",7
"연구소",7
"영국",7
"예절",7
"예측",7
"온라인",7
"외부",7
"원동력",7
"위안화",7
"유머",7
"의도",7
"이해도",7
"인력",7
"자랑",7
"잘못",7
"재미",7
"전공자",7
"전달",7
"절하",7
"정기",7
"정상",7
"조화",7
"주관하",7
"중소기업",7
"중점",7
"지난해",7
"지도",7
"지뢰",7
"진출",7
"질문",7
"집중",7
"차례",7
"차질",7
"창고",7
"추세",7
"추후",7
"출시",7
"층",7
"코딩",7
"클라우드",7
"타이젠",7
"틈",7
"티셔츠",7
"파업",7
"패턴",7
"페이스북",7
"편리",7
"포인트",7
"표현",7
"하루하루",7
"한류",7
"할머니",7
"해킹",7
"협력하",7
"홈페이지",7
"활성",7
"가르침",6
"각지",6
"감소",6
"강화",6
"개개인",6
"거기",6
"계층",6
"곰돌이",6
"공동",6
"광고",6
"국내외",6
"국어",6
"권고",6
"권유",6
"그분",6
"급우",6
"기어",6
"기업인",6
"남",6
"다음카카오",6
"단순",6
"단원",6
"대비",6
"댁",6
"도입",6
"독일",6
"독창",6
"동생",6
"등산",6
"디스플레이",6
"라",6
"랩",6
"량",6
"러",6
"리스트",6
"마우스",6
"마음속",6
"말하기",6
"매사",6
"먹거리",6
"메모",6
"모션",6
"목소리",6
"목숨",6
"물방울",6
"물자",6
"미군",6
"믿음",6
"바다",6
"박사",6
"밖",6
"방면",6
"백색",6
"번역",6
"베르누이",6
"별명",6
"보람",6
"복지",6
"부담",6
"부담감",6
"비즈니스",6
"빛",6
"사전",6
"사진",6
"삼성그룹",6
"상처",6
"생명",6
"서울",6
"선도",6
"설계사",6
"설득",6
"성향",6
"소비",6
"수능",6
"수익",6
"숨",6
"시도",6
"시퀀스",6
"신청",6
"아프리카",6
"암기",6
"압도",6
"애착",6
"양극",6
"어플리케이션",6
"연령대",6
"연속",6
"연예인",6
"영상",6
"영향력",6
"오기",6
"오늘",6
"온도",6
"와중",6
"완공",6
"완제품",6
"용기",6
"운전병",6
"움직임",6
"워드",6
"유기",6
"유명",6
"유통",6
"의문",6
"이사",6
"이용",6
"이해력",6
"인내심",6
"인도",6
"인증",6
"인터뷰",6
"일류",6
"임원",6
"장애",6
"재치",6
"전쟁",6
"전화",6
"접근",6
"정직",6
"존경",6
"종류",6
"주기",6
"증진",6
"지닌",6
"지인",6
"지하철",6
"직책",6
"질",6
"철강",6
"체",6
"초등학생",6
"총무부",6
"최고점",6
"최상",6
"카메라",6
"컨테이너",6
"컨퍼런스",6
"킥",6
"통계",6
"투표",6
"파일",6
"패러다임",6
"팬",6
"포부",6
"프레젠테이션",6
"필터",6
"합창",6
"해석",6
"형",6
"호기심",6
"화재",6
"확대",6
"회람",6
"가수",5
"강국",5
"개의",5
"개척",5
"거래처",5
"거점",5
"검사",5
"고체",5
"공공",5
"공기",5
"공유",5
"관용",5
"궁극",5
"규제",5
"근로",5
"금호타이어",5
"기법",5
"기분",5
"꽃",5
"나머지",5
"나모",5
"난민",5
"남아",5
"내의",5
"냉방",5
"님",5
"대체",5
"대학원",5
"댄스",5
"덕",5
"도면",5
"도서관",5
"동경",5
"동상",5
"동호회",5
"드릴",5
"땀",5
"또래",5
"리",5
"망",5
"머릿속",5
"며칠",5
"명목",5
"목록",5
"미션",5
"밑바탕",5
"바람",5
"박람회",5
"발표회",5
"배낭여행",5
"번도",5
"보드",5
"보일",5
"보통",5
"보편",5
"복학",5
"본래",5
"부스",5
"부여",5
"부작용",5
"부재",5
"분리",5
"사과",5
"사회인",5
"삶이",5
"생일",5
"서버",5
"서적",5
"선반",5
"선진",5
"설정",5
"세기",5
"세미나",5
"소",5
"소개",5
"소극적",5
"소형",5
"손가락",5
"손실",5
"수식어",5
"수율",5
"수입",5
"수주",5
"수첩",5
"수치",5
"스승",5
"스위스",5
"스케줄",5
"스타",5
"스토리",5
"습득",5
"시연",5
"신인",5
"실시간",5
"실험실",5
"아시아",5
"약품",5
"양",5
"어깨",5
"에디터",5
"연계",5
"열등감",5
"영수증",5
"예방",5
"예상",5
"오랫동안",5
"오류",5
"오염",5
"완주",5
"왕",5
"외국어",5
"요인",5
"우려",5
"유가",5
"유대",5
"음료",5
"음성",5
"음악",5
"의사",5
"이웃",5
"이윤",5
"인적",5
"일련",5
"일반인",5
"일보",5
"일상",5
"일요일",5
"일인",5
"임무",5
"자가",5
"자금",5
"자유로",5
"장애우",5
"장학",5
"장학금",5
"재수",5
"저하",5
"적응력",5
"전망",5
"전망하",5
"절",5
"점유",5
"접점",5
"정",5
"정체",5
"제고",5
"제주도",5
"조각",5
"좌우명",5
"주목",5
"주행",5
"증",5
"지각",5
"지방",5
"진입",5
"짓",5
"차장",5
"참석",5
"창업",5
"첨단",5
"초점",5
"최소",5
"출신",5
"충전",5
"충족",5
"침해",5
"캡",5
"코드",5
"타입",5
"탓",5
"택시",5
"토",5
"툴",5
"특별상",5
"특징",5
"퍼즐",5
"페이지",5
"펜",5
"평등",5
"폭파",5
"폴란드",5
"필리핀",5
"학과",5
"학술",5
"한국인",5
"한지",5
"합성",5
"항",5
"해결책",5
"허가",5
"허리",5
"현대",5
"형태",5
"화면",5
"화합",5
"회전",5
"후발",5
"가공품",4
"가량",4
"감사",4
"결근",4
"경영학",4
"경제학",4
"고",4
"고난",4
"곳곳",4
"공개",4
"공업",4
"공정한",4
"공통점",4
"과실",4
"관찰",4
"교",4
"교과목",4
"교과서",4
"교실",4
"교양",4
"궁금증",4
"규칙",4
"그간",4
"그곳",4
"그날",4
"금액",4
"기",4
"기계학",4
"기술직",4
"기판",4
"기획부",4
"김",4
"까닭",4
"깨달음",4
"내일",4
"논리",4
"놀라움",4
"누나",4
"능동",4
"다툼",4
"단기",4
"단일",4
"달러",4
"담당자",4
"답",4
"대만",4
"대사",4
"대처",4
"대형",4
"데이터베이스",4
"동네",4
"동반",4
"드라이브",4
"듣기",4
"러닝",4
"레고",4
"로고",4
"리눅스",4
"마",4
"마감",4
"만류",4
"매출액",4
"맥주",4
"메뉴",4
"모델링",4
"모범",4
"몫",4
"몰입",4
"무리",4
"미",4
"반납",4
"발로",4
"밥",4
"방문",4
"방송국",4
"배낭",4
"버킷",4
"병사",4
"보안성",4
"보조",4
"보탬",4
"보험사",4
"복무",4
"부가가치",4
"분기",4
"불감증",4
"불편",4
"불황",4
"블랙",4
"빈자리",4
"사단",4
"사면",4
"사무실",4
"사양",4
"사용법",4
"사이버",4
"사이트",4
"사정",4
"산",4
"산학",4
"상대방",4
"상상",4
"상승",4
"상업",4
"새로움",4
"새벽",4
"선입견",4
"선정",4
"설명회",4
"성장세",4
"세월호",4
"세일즈",4
"세트",4
"소득",4
"소리",4
"소셜",4
"소외",4
"쇼크",4
"수리",4
